Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,Instr_Exp_Bool.ran,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,Symbol,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,RT_Iter_Hand.ran,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Feedback_Bool_Hand.ran,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Iter_Hand.ran,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.ran,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Block_Hand.ran,Instr_CR_Old_Press.keys,Instr_CR_Old_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Shape,CR_Old_Iter.thisRepN,CR_Old_Iter.thisTrialN,CR_Old_Iter.thisN,CR_Old_Iter.thisIndex,CR_Old_Iter.ran,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Feedback_Old_Bool.thisRepN,TR_Feedback_Old_Bool.thisTrialN,TR_Feedback_Old_Bool.thisN,TR_Feedback_Old_Bool.thisIndex,TR_Feedback_Old_Bool.ran,TR_Old_Iter.thisRepN,TR_Old_Iter.thisTrialN,TR_Old_Iter.thisN,TR_Old_Iter.thisIndex,TR_Old_Iter.ran,TR_Penalty_Old_Bool.thisRepN,TR_Penalty_Old_Bool.thisTrialN,TR_Penalty_Old_Bool.thisN,TR_Penalty_Old_Bool.thisIndex,TR_Penalty_Old_Bool.ran,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Block.ran
"[[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,0,0,0,1,0,"[1, -1, -1]",h,0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,1,1,1,1,1,"[-1, 1, -1]",u,1,media/dfnb.png,0.014,0.1,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,2,2,2,1,2,,i,0,media/dknb.png,0.057,0.08,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,space,18.394255,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,h,21.34687,i,1,0.58208,2,0,"[99,99,99]",2,0,Hand,i,RT,0,0,1,1,1,99,99,i,0.58208,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,h,1,0.365565,0,0,"[99,99,99]",0,0,Hand,h,RT,0,0,2,1,1,99,99,h,0.365565,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,i,1,0.398515,2,0,"[99,99,99]",2,0,Hand,i,RT,0,0,3,1,1,99,99,i,0.398515,1,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,u,1,0.2815,1,0,"[99,99,99]",1,1,Hand,u,RT,0,0,4,1,1,99,99,u,0.2815,1,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,h,1,0.32356,0,0,"[99,99,99]",0,0,Hand,h,RT,0,0,5,1,1,99,99,h,0.32356,1,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,2021-01-05_00h41.05.539,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,u,1,0.33365,1,0,"[99,99,99]",1,1,Hand,u,RT,0,0,6,1,1,99,99,u,0.33365,1,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
