Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran
"[[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,0,0,0,1,0,"[1, -1, -1]",h,0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,1,1,1,1,1,"[-1, 1, -1]",u,1,media/dfnb.png,0.014,0.1,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,2,2,2,1,2,,i,0,media/dknb.png,0.057,0.08,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,h,14.99292,h,1.350635,i,1,2.26041,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,0,1,1,99,99,i,2.26041,1,2,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.4531,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,1,1,1,99,99,i,0.4531,1,2,1,0,1,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.365845,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,2,1,1,99,99,i,0.365845,1,2,2,0,2,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.642955,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,3,1,1,99,99,u,0.642955,1,2,3,0,3,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.755045,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,4,1,1,99,99,u,0.755045,1,2,4,0,4,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.609445,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,5,1,1,99,99,h,0.609445,1,2,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.584885,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,6,1,1,99,99,h,0.584885,1,2,6,0,6,0,1,,,,,
