Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran,Instr_End_Exp_Key.keys,Instr_End_Exp_Key.rt
"[[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,0,0,0,1,0,"[1, -1, -1]",h,0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,1,1,1,1,1,"[-1, 1, -1]",u,1,media/dfnb.png,0.014,0.1,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[1,0,2]","[0,2,1]","[0,2,1]","[1,0,2]",0,2,2,2,1,2,,i,0,media/dknb.png,0.057,0.08,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,h,1.31217,h,3.816695,h,1,1.19696,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,0,1,1,99,99,h,1.19696,1,4,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.90708,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,1,1,1,99,99,u,0.90708,1,4,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.60251,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,2,1,1,99,99,h,0.60251,1,4,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.48999,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,3,1,1,99,99,u,0.48999,1,4,3,0,3,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.854675,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,4,1,1,99,99,h,0.854675,1,4,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.39827,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,5,1,1,99,99,h,0.39827,1,4,5,0,5,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.72035,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,6,1,1,99,99,i,0.72035,1,4,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.426665,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,7,1,1,99,99,i,0.426665,1,4,7,0,7,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.37142,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,8,1,1,99,99,i,0.37142,1,4,8,0,8,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.78703,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,9,1,1,99,99,u,0.78703,1,4,9,0,9,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.699815,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,10,1,1,99,99,i,0.699815,1,4,10,0,10,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,0,0.62244,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,11,1,1,99,99,h,0.62244,0,4,11,0,11,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.71672,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,12,1,1,99,99,i,0.71672,1,4,12,0,12,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,0,0.894745,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,13,1,1,99,99,h,0.894745,0,4,13,0,13,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.84154,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,14,1,1,99,99,h,0.84154,1,4,14,0,14,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.598115,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,15,1,1,99,99,i,0.598115,1,4,15,0,15,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.98184,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,16,1,1,99,99,h,0.98184,1,4,16,0,16,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.817595,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,17,1,1,99,99,u,0.817595,1,4,17,0,17,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.73033,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,18,1,1,99,99,h,0.73033,1,4,18,0,18,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,1.36162,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,19,1,1,99,99,h,1.36162,1,4,19,0,19,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.707895,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,20,1,1,99,99,u,0.707895,1,4,20,0,20,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.39891,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,21,1,1,99,99,u,0.39891,1,4,21,0,21,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.869835,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,22,1,1,99,99,i,0.869835,1,4,22,0,22,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.61839,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,23,1,1,99,99,i,0.61839,1,4,23,0,23,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.786945,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,24,1,1,99,99,u,0.786945,1,4,24,0,24,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.89045,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,25,1,1,99,99,h,0.89045,1,4,25,0,25,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.60313,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,26,1,1,99,99,h,0.60313,1,4,26,0,26,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.81459,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,27,1,1,99,99,i,0.81459,1,4,27,0,27,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.66494,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,28,1,1,99,99,i,0.66494,1,4,28,0,28,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.78903,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,29,1,1,99,99,u,0.78903,1,4,29,0,29,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.84821,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,30,1,1,99,99,i,0.84821,1,4,30,0,30,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.85299,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,31,1,1,99,99,i,0.85299,1,4,31,0,31,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.944835,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,32,1,1,99,99,u,0.944835,1,4,32,0,32,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,4,2021-01-11_00h44.10.845,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.610485,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,33,1,1,99,99,i,0.610485,1,4,33,0,33,0,1,,,,,,,
